image_stem,method,psnr
clock,gaussian_3x3,20.5200363955624
clock,gaussian_5x5,20.411775875614456
clock,gaussian_9x9,20.392415070230445
clock,median_3x3,19.82954797558151
clock,median_5x5,19.4360103031491
clock,median_9x9,18.47690105990945
clock,bilateral_3x3,20.195014036277673
clock,bilateral_5x5,20.195014036277673
clock,bilateral_9x9,20.195014036277673
clock,wiener_3x3,20.63667381702052
clock,wiener_5x5,20.29214909212858
clock,wiener_9x9,19.89342731300476
clock,nlm_3x3,20.677670339651456
clock,nlm_5x5,20.677670339651456
clock,nlm_9x9,20.677670339651456
man,box_3x3,19.89520002308247
man,box_5x5,19.61968069151627
man,box_9x9,19.049504012284533
man,gaussian_3x3,19.948819491080354
man,gaussian_5x5,19.920490047714775
man,gaussian_9x9,19.913488428372908
man,median_3x3,19.756720432427407
man,median_5x5,19.699385831530805
man,median_9x9,19.316001097442353
man,bilateral_3x3,19.70695964868286
man,bilateral_5x5,19.70695964868286
man,bilateral_9x9,19.70695964868286
man,wiener_3x3,20.054634969809122
man,wiener_5x5,19.809043035663468
man,wiener_9x9,19.296338444671566
man,nlm_3x3,19.740149521321634
man,nlm_5x5,19.740149521321634
man,nlm_9x9,19.740149521321634
moon,box_3x3,27.047199389863167
moon,box_5x5,27.61379249734275
moon,box_9x9,26.872851922574228
moon,gaussian_3x3,27.10794323055847
moon,gaussian_5x5,27.856550958488647
moon,gaussian_9x9,27.90636873523318
moon,median_3x3,31.11309376814795
moon,median_5x5,29.148717582274486
moon,median_9x9,27.702260952879683
moon,bilateral_3x3,26.96696395151779
moon,bilateral_5x5,26.96696395151779
moon,bilateral_9x9,26.96696395151779
moon,wiener_3x3,21.101305748114072
moon,wiener_5x5,22.451429656673213
moon,wiener_9x9,23.627995061292456
moon,nlm_3x3,20.006974624869063
moon,nlm_5x5,20.006974624869063
moon,nlm_9x9,20.006974624869063
moss,box_3x3,17.62455674314197
moss,box_5x5,16.38657713364234
moss,box_9x9,15.224225662079721
moss,gaussian_3x3,18.136720311301666
moss,gaussian_5x5,17.756511050592273
moss,gaussian_9x9,17.706111479544113
moss,median_3x3,17.972300091431958
moss,median_5x5,16.879320057601124
moss,median_9x9,15.70889327265077
moss,bilateral_3x3,17.79235316806105
moss,bilateral_5x5,17.79235316806105
moss,bilateral_9x9,17.79235316806105
moss,wiener_3x3,17.80643469971071
moss,wiener_5x5,16.55152498175114
moss,wiener_9x9,15.361605853822313
moss,nlm_3x3,19.17770665437143
moss,nlm_5x5,19.17770665437143
moss,nlm_9x9,19.17770665437143
neptune,box_3x3,20.158848463056394
neptune,box_5x5,20.238775081387583
neptune,box_9x9,20.269359145722767
neptune,gaussian_3x3,20.144056234563614
neptune,gaussian_5x5,20.199474418152647
neptune,gaussian_9x9,20.20409192856508
neptune,median_3x3,19.935045061192994
neptune,median_5x5,20.134629208259348
neptune,median_9x9,20.23392493342811
neptune,bilateral_3x3,20.265514147038857
neptune,bilateral_5x5,20.265514147038857
neptune,bilateral_9x9,20.265514147038857
neptune,wiener_3x3,20.31056795593404
neptune,wiener_5x5,20.40610157742568
neptune,wiener_9x9,20.442854600615064
neptune,nlm_3x3,20.242307543378352
neptune,nlm_5x5,20.242307543378352
neptune,nlm_9x9,20.242307543378352
pentagon,box_3x3,11.209025758471903
pentagon,box_5x5,11.336651103094727
pentagon,box_9x9,11.354181021864617
